,ROUTE,NUMBER_OF_FLIGHTS,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_TYPE,ORIGIN_AIRPORT_NAME,ORIGIN_LAT,ORIGIN_LONG,DESTINATION,DEST_CITY_NAME,DEST_TYPE,DEST_AIRPORT_NAME,DEST_LAT,DEST_LONG,DEP_DELAY,ARR_DELAY,AIR_TIME,DISTANCE,OCCUPANCY_RATE,WEIGHTED_AVG_FARE,OPERATIONAL_COST,N_PASSENGERS,BAGGAGE_REVENUE,TICKET_REVENUE,TOTAL_REVENUE,DEP_DELAY_COST,ARR_DELAY_COST,OM_COST,TOTAL_COST,NET_PROFIT,NUMBER_OF_ROUNDTRIPS,PROFIT_COST_RATIO,DELAY_COST_PER_TRIP,PROFIT_PER_TRIP_NORM,DELAY_COST_PER_TRIP_NORM,PROFITABILITY_SCORE,PROFIT_PER_ROUNDTRIP,BREAKEVEN_NUMBER_OF_TRIPS
828,CLT-FLO,504,FLO,"Florence, SC",medium_airport,Florence Regional Airport, 34.18539810180664,-79.7238998413086,CLT,"Charlotte, NC",large_airport,Charlotte Douglas International Airport, 35.2140007019043,-80.94309997558594,-5.0,-7.0,27.0,99.0,0.6485515873015874,999.5,3780000,65374.0,1144045.0,65341313.0,66485358.0,219975.0,228375.0,458045.27999999997,4686395.28,61798962.72,252.0,13.18688651461769,1779.1666666666667,1.0,0.11613014884042921,0.9651609553478713,245233.97904761904,366
2292,MDT-PHL,794,PHL,"Philadelphia, PA",large_airport,Philadelphia International Airport, 39.87189865112305,-75.24109649658203,MDT,"Harrisburg, PA",medium_airport,Harrisburg International Airport, 40.1935005188,-76.7633972168,-5.0,-6.0,24.0,84.0,0.6490554156171285,454.5,5955000,103070.0,1803725.0,46845315.0,48649040.0,361800.0,434400.0,612269.28,7363469.28,41285570.72,397.0,5.606809664044663,2005.5415617128463,0.42518070189119345,0.13090613961632583,0.5583546494389376,103993.880906801,865
1959,ISP-PHL,331,PHL,"Philadelphia, PA",large_airport,Philadelphia International Airport, 39.87189865112305,-75.24109649658203,ISP,"Islip, NY",medium_airport,Long Island Mac Arthur Airport, 40.79520035,-73.10019684,-4.0,-5.0,38.0,130.0,0.6429909365558912,362.75,2482500,42566.0,744905.0,15440816.5,16185721.5,154350.0,189450.0,395015.39999999997,3221315.4,12964406.1,165.0,4.024569000601431,2083.6363636363635,0.305194785451455,0.1360035603026257,0.4728352817252308,78572.15818181817,1145
842,CLT-ILM,1465,ILM,"Wilmington, NC",medium_airport,Wilmington International Airport, 34.270599365234375,-77.90260314941406,CLT,"Charlotte, NC",large_airport,Charlotte Douglas International Airport, 35.2140007019043,-80.94309997558594,-3.0,-7.0,38.0,185.0,0.6559249146757679,322.0,10987500,192186.0,3363255.0,61883892.0,65247147.0,556575.0,504525.0,2488009.5,14536609.499999998,50710537.5,732.0,3.488470781305641,1449.5901639344263,0.26454089655193924,0.09461796055943444,0.4567932394185271,69276.6905737705,1299
1824,IAD-MDT,545,MDT,"Harrisburg, PA",medium_airport,Harrisburg International Airport, 40.1935005188,-76.7633972168,IAD,"Washington, DC",large_airport,Washington Dulles International Airport, 38.94449997,-77.45580292,-8.0,-13.0,25.0,94.0,0.6477064220183486,338.0,4087500,70600.0,1235500.0,23862800.0,25098300.0,340125.0,365850.0,470291.39999999997,5263766.4,19834533.6,272.0,3.768125728375788,2595.4963235294117,0.28574794544556165,0.1694137935548051,0.44919942374545163,72921.07941176472,1234
